SPECIES_CODE,M,Tier,Spec_name
30560,0.06,4,Sharpchin rockfish
30100,0.05,5,Silvergray rockfish
30220,0.05,5,Widow rockfish
30190,0.06,5,Splitnose rockfish
30260,0.06,5,Chilipepper rockfish
30340,0.06,5,Blackgill rockfish
30350,0.06,5,Vermilion rockfish
30400,0.06,5,Bocaccio       
30475,0.06,5,Redbanded rockfish
30490,0.06,5,Stripetail rockfish
30550,0.06,5,Pygmy rockfish  
30600,0.06,5,Yellowmouth rockfish
30170,0.07,5,Darkblotched rockfish
30200,0.07,5,Greenstriped rockfish
30240,0.07,5,Yellowtail rockfish
30535,0.092,5,Harlequin rockfish
30430,0.1,5,Redstripe rockfish
30470,0.02,6,Yelloweye rockfish 
30410,0.05,6,Canary rockfish 
30120,0.06,6,Copper rockfish 
30270,0.06,6,Rosethorn rockfish 
30320,0.06,6,Quillback rockfish 
30380,0.06,6,Tiger rockfish 
30420,0.075,NA,Northern rockfish 
