"REG_AREA","Biom_est","ABC","Apport","Group","OFL"
"CENTRAL GOA","1894.69","123.155418810418","0.175018590107753","SC","855.2303"
"EASTERN GOA","8765.07","569.732181387261","0.809657618711117","SC","855.2303"
"GOA","10825.7","703.673750015011","1.00000461866031","SC","855.2303"
"WESTERN GOA","165.89","10.7828998023213","0.01532379118113","SC","855.2303"
"EYAK","7811.57214747426","507.754534720713","0.721579964941991","SC","855.2303"
"WYAK","953.497852525737","61.9776466665477","0.0880776537691259","SC","855.2303"
"CENTRAL GOA","11936.5","623.417846711889","0.198368625992188","T5","4190.2987"
"EASTERN GOA","48032.1","2508.61377749341","0.798229102376691","T5","4190.2987"
"GOA","59861.41","3142.72266707565","0.99999956791486","T5","4190.2987"
"WESTERN GOA","204.726","10.6924007947001","0.00340227163112107","T5","4190.2987"
"EYAK","42806.9843760174","2235.71717202917","0.711394686343536","T5","4190.2987"
"WYAK","5225.11562398264","272.89660546424","0.0868344160331546","T5","4190.2987"
"CENTRAL GOA","0","116.722922444175","0","T6","256.8269393979"
"EASTERN GOA","0","32.07977261355","0","T6","256.8269393979"
"EYAK","0","0","0","T6","256.8269393979"
"WESTERN GOA","0","43.8175094907","0","T6","256.8269393979"
"WYAK","0","32.07977261355","0","T6","256.8269393979"
"GOA","0","192.620204548425","0","T6","256.8269393979"
"CENTRAL GOA","13831.19","863.296187966482","0","Complex","5302.3559393979"
"EASTERN GOA","56797.17","3110.42573149422","0","Complex","5302.3559393979"
"WESTERN GOA","370.616","65.2928100877214","0","Complex","5302.3559393979"
"GOA","70687.11","4039.01472954842","0","Complex","5302.3559393979"
